,Year,Month,Day,Hour,Minute,DHI,DNI
2011-01-01 00:00:00,2011,1,1,0,30,0,0
2011-01-01 01:00:00,2011,1,1,1,30,0,0
2011-01-01 02:00:00,2011,1,1,2,30,0,0
2011-01-01 03:00:00,2011,1,1,3,30,0,0
2011-01-01 04:00:00,2011,1,1,4,30,0,0
2011-01-01 05:00:00,2011,1,1,5,30,0,0
2011-01-01 06:00:00,2011,1,1,6,30,0,0
2011-01-01 07:00:00,2011,1,1,7,30,0,0
2011-01-01 08:00:00,2011,1,1,8,30,24,0
2011-01-01 09:00:00,2011,1,1,9,30,81,107
2011-01-01 10:00:00,2011,1,1,10,30,121,45
2011-01-01 11:00:00,2011,1,1,11,30,87,0
2011-01-01 12:00:00,2011,1,1,12,30,155,60
2011-01-01 13:00:00,2011,1,1,13,30,136,36
2011-01-01 14:00:00,2011,1,1,14,30,55,0
2011-01-01 15:00:00,2011,1,1,15,30,40,647
2011-01-01 16:00:00,2011,1,1,16,30,0,0
2011-01-01 17:00:00,2011,1,1,17,30,0,0
2011-01-01 18:00:00,2011,1,1,18,30,0,0
2011-01-01 19:00:00,2011,1,1,19,30,0,0
2011-01-01 20:00:00,2011,1,1,20,30,0,0
2011-01-01 21:00:00,2011,1,1,21,30,0,0
2011-01-01 22:00:00,2011,1,1,22,30,0,0
2011-01-01 23:00:00,2011,1,1,23,30,0,0
2011-01-02 00:00:00,2011,1,2,0,30,0,0
2011-01-02 01:00:00,2011,1,2,1,30,0,0
2011-01-02 02:00:00,2011,1,2,2,30,0,0
2011-01-02 03:00:00,2011,1,2,3,30,0,0
2011-01-02 04:00:00,2011,1,2,4,30,0,0
2011-01-02 05:00:00,2011,1,2,5,30,0,0
2011-01-02 06:00:00,2011,1,2,6,30,0,0
2011-01-02 07:00:00,2011,1,2,7,30,0,0
2011-01-02 08:00:00,2011,1,2,8,30,28,381
2011-01-02 09:00:00,2011,1,2,9,30,57,660
2011-01-02 10:00:00,2011,1,2,10,30,70,784
2011-01-02 11:00:00,2011,1,2,11,30,76,833
2011-01-02 12:00:00,2011,1,2,12,30,76,841
2011-01-02 13:00:00,2011,1,2,13,30,131,314
2011-01-02 14:00:00,2011,1,2,14,30,95,0
2011-01-02 15:00:00,2011,1,2,15,30,53,0
2011-01-02 16:00:00,2011,1,2,16,30,0,0
2011-01-02 17:00:00,2011,1,2,17,30,0,0
2011-01-02 18:00:00,2011,1,2,18,30,0,0
2011-01-02 19:00:00,2011,1,2,19,30,0,0
2011-01-02 20:00:00,2011,1,2,20,30,0,0
2011-01-02 21:00:00,2011,1,2,21,30,0,0
2011-01-02 22:00:00,2011,1,2,22,30,0,0
2011-01-02 23:00:00,2011,1,2,23,30,0,0
2011-01-03 00:00:00,2011,1,3,0,30,0,0
2011-01-03 01:00:00,2011,1,3,1,30,0,0
2011-01-03 02:00:00,2011,1,3,2,30,0,0
2011-01-03 03:00:00,2011,1,3,3,30,0,0
2011-01-03 04:00:00,2011,1,3,4,30,0,0
2011-01-03 05:00:00,2011,1,3,5,30,0,0
2011-01-03 06:00:00,2011,1,3,6,30,0,0
2011-01-03 07:00:00,2011,1,3,7,30,0,0
2011-01-03 08:00:00,2011,1,3,8,30,27,355
2011-01-03 09:00:00,2011,1,3,9,30,56,631
2011-01-03 10:00:00,2011,1,3,10,30,130,143
2011-01-03 11:00:00,2011,1,3,11,30,132,10
2011-01-03 12:00:00,2011,1,3,12,30,152,42
2011-01-03 13:00:00,2011,1,3,13,30,93,0
2011-01-03 14:00:00,2011,1,3,14,30,99,295
2011-01-03 15:00:00,2011,1,3,15,30,60,2
2011-01-03 16:00:00,2011,1,3,16,30,0,0
2011-01-03 17:00:00,2011,1,3,17,30,0,0
2011-01-03 18:00:00,2011,1,3,18,30,0,0
2011-01-03 19:00:00,2011,1,3,19,30,0,0
2011-01-03 20:00:00,2011,1,3,20,30,0,0
2011-01-03 21:00:00,2011,1,3,21,30,0,0
2011-01-03 22:00:00,2011,1,3,22,30,0,0
2011-01-03 23:00:00,2011,1,3,23,30,0,0
2011-01-04 00:00:00,2011,1,4,0,30,0,0
2011-01-04 01:00:00,2011,1,4,1,30,0,0
2011-01-04 02:00:00,2011,1,4,2,30,0,0
2011-01-04 03:00:00,2011,1,4,3,30,0,0
2011-01-04 04:00:00,2011,1,4,4,30,0,0
2011-01-04 05:00:00,2011,1,4,5,30,0,0
2011-01-04 06:00:00,2011,1,4,6,30,0,0
2011-01-04 07:00:00,2011,1,4,7,30,0,0
2011-01-04 08:00:00,2011,1,4,8,30,28,374
2011-01-04 09:00:00,2011,1,4,9,30,57,651
2011-01-04 10:00:00,2011,1,4,10,30,70,779
2011-01-04 11:00:00,2011,1,4,11,30,76,833
2011-01-04 12:00:00,2011,1,4,12,30,77,847
2011-01-04 13:00:00,2011,1,4,13,30,73,827
2011-01-04 14:00:00,2011,1,4,14,30,63,764
2011-01-04 15:00:00,2011,1,4,15,30,42,647
2011-01-04 16:00:00,2011,1,4,16,30,0,0
2011-01-04 17:00:00,2011,1,4,17,30,0,0
2011-01-04 18:00:00,2011,1,4,18,30,0,0
2011-01-04 19:00:00,2011,1,4,19,30,0,0
2011-01-04 20:00:00,2011,1,4,20,30,0,0
2011-01-04 21:00:00,2011,1,4,21,30,0,0
2011-01-04 22:00:00,2011,1,4,22,30,0,0
2011-01-04 23:00:00,2011,1,4,23,30,0,0
2011-01-05 00:00:00,2011,1,5,0,30,0,0
2011-01-05 01:00:00,2011,1,5,1,30,0,0
2011-01-05 02:00:00,2011,1,5,2,30,0,0
2011-01-05 03:00:00,2011,1,5,3,30,0,0
2011-01-05 04:00:00,2011,1,5,4,30,0,0
2011-01-05 05:00:00,2011,1,5,5,30,0,0
2011-01-05 06:00:00,2011,1,5,6,30,0,0
2011-01-05 07:00:00,2011,1,5,7,30,0,0
2011-01-05 08:00:00,2011,1,5,8,30,11,0
2011-01-05 09:00:00,2011,1,5,9,30,79,35
2011-01-05 10:00:00,2011,1,5,10,30,113,12
2011-01-05 11:00:00,2011,1,5,11,30,132,9
2011-01-05 12:00:00,2011,1,5,12,30,162,86
2011-01-05 13:00:00,2011,1,5,13,30,131,11
2011-01-05 14:00:00,2011,1,5,14,30,63,0
2011-01-05 15:00:00,2011,1,5,15,30,37,0
2011-01-05 16:00:00,2011,1,5,16,30,0,0
2011-01-05 17:00:00,2011,1,5,17,30,0,0
2011-01-05 18:00:00,2011,1,5,18,30,0,0
2011-01-05 19:00:00,2011,1,5,19,30,0,0
2011-01-05 20:00:00,2011,1,5,20,30,0,0
2011-01-05 21:00:00,2011,1,5,21,30,0,0
2011-01-05 22:00:00,2011,1,5,22,30,0,0
2011-01-05 23:00:00,2011,1,5,23,30,0,0
2011-01-06 00:00:00,2011,1,6,0,30,0,0
2011-01-06 01:00:00,2011,1,6,1,30,0,0
2011-01-06 02:00:00,2011,1,6,2,30,0,0
2011-01-06 03:00:00,2011,1,6,3,30,0,0
2011-01-06 04:00:00,2011,1,6,4,30,0,0
2011-01-06 05:00:00,2011,1,6,5,30,0,0
2011-01-06 06:00:00,2011,1,6,6,30,0,0
2011-01-06 07:00:00,2011,1,6,7,30,0,0
2011-01-06 08:00:00,2011,1,6,8,30,28,362
2011-01-06 09:00:00,2011,1,6,9,30,57,640
2011-01-06 10:00:00,2011,1,6,10,30,70,770
2011-01-06 11:00:00,2011,1,6,11,30,76,825
2011-01-06 12:00:00,2011,1,6,12,30,77,838
2011-01-06 13:00:00,2011,1,6,13,30,73,815
2011-01-06 14:00:00,2011,1,6,14,30,113,65
2011-01-06 15:00:00,2011,1,6,15,30,67,105
2011-01-06 16:00:00,2011,1,6,16,30,0,0
2011-01-06 17:00:00,2011,1,6,17,30,0,0
2011-01-06 18:00:00,2011,1,6,18,30,0,0
2011-01-06 19:00:00,2011,1,6,19,30,0,0
2011-01-06 20:00:00,2011,1,6,20,30,0,0
2011-01-06 21:00:00,2011,1,6,21,30,0,0
2011-01-06 22:00:00,2011,1,6,22,30,0,0
2011-01-06 23:00:00,2011,1,6,23,30,0,0
2011-01-07 00:00:00,2011,1,7,0,30,0,0
2011-01-07 01:00:00,2011,1,7,1,30,0,0
2011-01-07 02:00:00,2011,1,7,2,30,0,0
2011-01-07 03:00:00,2011,1,7,3,30,0,0
2011-01-07 04:00:00,2011,1,7,4,30,0,0
2011-01-07 05:00:00,2011,1,7,5,30,0,0
2011-01-07 06:00:00,2011,1,7,6,30,0,0
2011-01-07 07:00:00,2011,1,7,7,30,0,0
2011-01-07 08:00:00,2011,1,7,8,30,5,0
2011-01-07 09:00:00,2011,1,7,9,30,45,0
2011-01-07 10:00:00,2011,1,7,10,30,66,0
2011-01-07 11:00:00,2011,1,7,11,30,143,26
2011-01-07 12:00:00,2011,1,7,12,30,74,0
2011-01-07 13:00:00,2011,1,7,13,30,114,0
2011-01-07 14:00:00,2011,1,7,14,30,50,0
2011-01-07 15:00:00,2011,1,7,15,30,66,61
2011-01-07 16:00:00,2011,1,7,16,30,0,0
2011-01-07 17:00:00,2011,1,7,17,30,0,0
2011-01-07 18:00:00,2011,1,7,18,30,0,0
2011-01-07 19:00:00,2011,1,7,19,30,0,0
2011-01-07 20:00:00,2011,1,7,20,30,0,0
2011-01-07 21:00:00,2011,1,7,21,30,0,0
2011-01-07 22:00:00,2011,1,7,22,30,0,0
2011-01-07 23:00:00,2011,1,7,23,30,0,0
2011-01-08 00:00:00,2011,1,8,0,30,0,0
2011-01-08 01:00:00,2011,1,8,1,30,0,0
2011-01-08 02:00:00,2011,1,8,2,30,0,0
2011-01-08 03:00:00,2011,1,8,3,30,0,0
2011-01-08 04:00:00,2011,1,8,4,30,0,0
2011-01-08 05:00:00,2011,1,8,5,30,0,0
2011-01-08 06:00:00,2011,1,8,6,30,0,0
2011-01-08 07:00:00,2011,1,8,7,30,0,0
2011-01-08 08:00:00,2011,1,8,8,30,29,385
2011-01-08 09:00:00,2011,1,8,9,30,58,665
2011-01-08 10:00:00,2011,1,8,10,30,71,794
2011-01-08 11:00:00,2011,1,8,11,30,77,848
2011-01-08 12:00:00,2011,1,8,12,30,79,862
2011-01-08 13:00:00,2011,1,8,13,30,75,842
2011-01-08 14:00:00,2011,1,8,14,30,65,781
2011-01-08 15:00:00,2011,1,8,15,30,45,666
2011-01-08 16:00:00,2011,1,8,16,30,0,0
2011-01-08 17:00:00,2011,1,8,17,30,0,0
2011-01-08 18:00:00,2011,1,8,18,30,0,0
2011-01-08 19:00:00,2011,1,8,19,30,0,0
2011-01-08 20:00:00,2011,1,8,20,30,0,0
2011-01-08 21:00:00,2011,1,8,21,30,0,0
2011-01-08 22:00:00,2011,1,8,22,30,0,0
2011-01-08 23:00:00,2011,1,8,23,30,0,0
2011-01-09 00:00:00,2011,1,9,0,30,0,0
2011-01-09 01:00:00,2011,1,9,1,30,0,0
2011-01-09 02:00:00,2011,1,9,2,30,0,0
2011-01-09 03:00:00,2011,1,9,3,30,0,0
2011-01-09 04:00:00,2011,1,9,4,30,0,0
2011-01-09 05:00:00,2011,1,9,5,30,0,0
2011-01-09 06:00:00,2011,1,9,6,30,0,0
2011-01-09 07:00:00,2011,1,9,7,30,0,0
2011-01-09 08:00:00,2011,1,9,8,30,35,316
2011-01-09 09:00:00,2011,1,9,9,30,59,662
2011-01-09 10:00:00,2011,1,9,10,30,71,788
2011-01-09 11:00:00,2011,1,9,11,30,78,841
2011-01-09 12:00:00,2011,1,9,12,30,79,852
2011-01-09 13:00:00,2011,1,9,13,30,148,218
2011-01-09 14:00:00,2011,1,9,14,30,118,100
2011-01-09 15:00:00,2011,1,9,15,30,69,61
2011-01-09 16:00:00,2011,1,9,16,30,0,0
2011-01-09 17:00:00,2011,1,9,17,30,0,0
2011-01-09 18:00:00,2011,1,9,18,30,0,0
2011-01-09 19:00:00,2011,1,9,19,30,0,0
2011-01-09 20:00:00,2011,1,9,20,30,0,0
2011-01-09 21:00:00,2011,1,9,21,30,0,0
2011-01-09 22:00:00,2011,1,9,22,30,0,0
2011-01-09 23:00:00,2011,1,9,23,30,0,0
2011-01-10 00:00:00,2011,1,10,0,30,0,0
2011-01-10 01:00:00,2011,1,10,1,30,0,0
2011-01-10 02:00:00,2011,1,10,2,30,0,0
2011-01-10 03:00:00,2011,1,10,3,30,0,0
2011-01-10 04:00:00,2011,1,10,4,30,0,0
2011-01-10 05:00:00,2011,1,10,5,30,0,0
2011-01-10 06:00:00,2011,1,10,6,30,0,0
2011-01-10 07:00:00,2011,1,10,7,30,0,0
2011-01-10 08:00:00,2011,1,10,8,30,18,0
2011-01-10 09:00:00,2011,1,10,9,30,53,0
2011-01-10 10:00:00,2011,1,10,10,30,108,0
2011-01-10 11:00:00,2011,1,10,11,30,161,133
2011-01-10 12:00:00,2011,1,10,12,30,145,13
2011-01-10 13:00:00,2011,1,10,13,30,153,86
2011-01-10 14:00:00,2011,1,10,14,30,106,305
2011-01-10 15:00:00,2011,1,10,15,30,65,227
2011-01-10 16:00:00,2011,1,10,16,30,0,0
2011-01-10 17:00:00,2011,1,10,17,30,0,0
2011-01-10 18:00:00,2011,1,10,18,30,0,0
2011-01-10 19:00:00,2011,1,10,19,30,0,0
2011-01-10 20:00:00,2011,1,10,20,30,0,0
2011-01-10 21:00:00,2011,1,10,21,30,0,0
2011-01-10 22:00:00,2011,1,10,22,30,0,0
2011-01-10 23:00:00,2011,1,10,23,30,0,0
2011-01-11 00:00:00,2011,1,11,0,30,0,0
2011-01-11 01:00:00,2011,1,11,1,30,0,0
2011-01-11 02:00:00,2011,1,11,2,30,0,0
2011-01-11 03:00:00,2011,1,11,3,30,0,0
2011-01-11 04:00:00,2011,1,11,4,30,0,0
2011-01-11 05:00:00,2011,1,11,5,30,0,0
2011-01-11 06:00:00,2011,1,11,6,30,0,0
2011-01-11 07:00:00,2011,1,11,7,30,0,0
2011-01-11 08:00:00,2011,1,11,8,30,31,51
2011-01-11 09:00:00,2011,1,11,9,30,85,78
2011-01-11 10:00:00,2011,1,11,10,30,132,145
2011-01-11 11:00:00,2011,1,11,11,30,162,112
2011-01-11 12:00:00,2011,1,11,12,30,170,109
2011-01-11 13:00:00,2011,1,11,13,30,156,125
2011-01-11 14:00:00,2011,1,11,14,30,120,87
2011-01-11 15:00:00,2011,1,11,15,30,32,0
2011-01-11 16:00:00,2011,1,11,16,30,0,0
2011-01-11 17:00:00,2011,1,11,17,30,0,0
2011-01-11 18:00:00,2011,1,11,18,30,0,0
2011-01-11 19:00:00,2011,1,11,19,30,0,0
2011-01-11 20:00:00,2011,1,11,20,30,0,0
2011-01-11 21:00:00,2011,1,11,21,30,0,0
2011-01-11 22:00:00,2011,1,11,22,30,0,0
2011-01-11 23:00:00,2011,1,11,23,30,0,0
2011-01-12 00:00:00,2011,1,12,0,30,0,0
2011-01-12 01:00:00,2011,1,12,1,30,0,0
2011-01-12 02:00:00,2011,1,12,2,30,0,0
2011-01-12 03:00:00,2011,1,12,3,30,0,0
2011-01-12 04:00:00,2011,1,12,4,30,0,0
2011-01-12 05:00:00,2011,1,12,5,30,0,0
2011-01-12 06:00:00,2011,1,12,6,30,0,0
2011-01-12 07:00:00,2011,1,12,7,30,0,0
2011-01-12 08:00:00,2011,1,12,8,30,35,315
2011-01-12 09:00:00,2011,1,12,9,30,59,647
2011-01-12 10:00:00,2011,1,12,10,30,72,774
2011-01-12 11:00:00,2011,1,12,11,30,78,829
2011-01-12 12:00:00,2011,1,12,12,30,80,844
2011-01-12 13:00:00,2011,1,12,13,30,76,825
2011-01-12 14:00:00,2011,1,12,14,30,66,766
2011-01-12 15:00:00,2011,1,12,15,30,48,649
2011-01-12 16:00:00,2011,1,12,16,30,0,0
2011-01-12 17:00:00,2011,1,12,17,30,0,0
2011-01-12 18:00:00,2011,1,12,18,30,0,0
2011-01-12 19:00:00,2011,1,12,19,30,0,0
2011-01-12 20:00:00,2011,1,12,20,30,0,0
2011-01-12 21:00:00,2011,1,12,21,30,0,0
2011-01-12 22:00:00,2011,1,12,22,30,0,0
2011-01-12 23:00:00,2011,1,12,23,30,0,0
2011-01-13 00:00:00,2011,1,13,0,30,0,0
2011-01-13 01:00:00,2011,1,13,1,30,0,0
2011-01-13 02:00:00,2011,1,13,2,30,0,0
2011-01-13 03:00:00,2011,1,13,3,30,0,0
2011-01-13 04:00:00,2011,1,13,4,30,0,0
2011-01-13 05:00:00,2011,1,13,5,30,0,0
2011-01-13 06:00:00,2011,1,13,6,30,0,0
2011-01-13 07:00:00,2011,1,13,7,30,0,0
2011-01-13 08:00:00,2011,1,13,8,30,14,0
2011-01-13 09:00:00,2011,1,13,9,30,67,0
2011-01-13 10:00:00,2011,1,13,10,30,35,0
2011-01-13 11:00:00,2011,1,13,11,30,65,0
2011-01-13 12:00:00,2011,1,13,12,30,68,0
2011-01-13 13:00:00,2011,1,13,13,30,85,0
2011-01-13 14:00:00,2011,1,13,14,30,66,754
2011-01-13 15:00:00,2011,1,13,15,30,14,0
2011-01-13 16:00:00,2011,1,13,16,30,0,0
2011-01-13 17:00:00,2011,1,13,17,30,0,0
2011-01-13 18:00:00,2011,1,13,18,30,0,0
2011-01-13 19:00:00,2011,1,13,19,30,0,0
2011-01-13 20:00:00,2011,1,13,20,30,0,0
2011-01-13 21:00:00,2011,1,13,21,30,0,0
2011-01-13 22:00:00,2011,1,13,22,30,0,0
2011-01-13 23:00:00,2011,1,13,23,30,0,0
2011-01-14 00:00:00,2011,1,14,0,30,0,0
2011-01-14 01:00:00,2011,1,14,1,30,0,0
2011-01-14 02:00:00,2011,1,14,2,30,0,0
2011-01-14 03:00:00,2011,1,14,3,30,0,0
2011-01-14 04:00:00,2011,1,14,4,30,0,0
2011-01-14 05:00:00,2011,1,14,5,30,0,0
2011-01-14 06:00:00,2011,1,14,6,30,0,0
2011-01-14 07:00:00,2011,1,14,7,30,0,0
2011-01-14 08:00:00,2011,1,14,8,30,24,0
2011-01-14 09:00:00,2011,1,14,9,30,53,0
2011-01-14 10:00:00,2011,1,14,10,30,40,0
2011-01-14 11:00:00,2011,1,14,11,30,166,128
2011-01-14 12:00:00,2011,1,14,12,30,80,0
2011-01-14 13:00:00,2011,1,14,13,30,159,166
2011-01-14 14:00:00,2011,1,14,14,30,60,0
2011-01-14 15:00:00,2011,1,14,15,30,56,0
2011-01-14 16:00:00,2011,1,14,16,30,0,0
2011-01-14 17:00:00,2011,1,14,17,30,0,0
2011-01-14 18:00:00,2011,1,14,18,30,0,0
2011-01-14 19:00:00,2011,1,14,19,30,0,0
2011-01-14 20:00:00,2011,1,14,20,30,0,0
2011-01-14 21:00:00,2011,1,14,21,30,0,0
2011-01-14 22:00:00,2011,1,14,22,30,0,0
2011-01-14 23:00:00,2011,1,14,23,30,0,0
2011-01-15 00:00:00,2011,1,15,0,30,0,0
2011-01-15 01:00:00,2011,1,15,1,30,0,0
2011-01-15 02:00:00,2011,1,15,2,30,0,0
2011-01-15 03:00:00,2011,1,15,3,30,0,0
2011-01-15 04:00:00,2011,1,15,4,30,0,0
2011-01-15 05:00:00,2011,1,15,5,30,0,0
2011-01-15 06:00:00,2011,1,15,6,30,0,0
2011-01-15 07:00:00,2011,1,15,7,30,0,0
2011-01-15 08:00:00,2011,1,15,8,30,36,333
2011-01-15 09:00:00,2011,1,15,9,30,59,656
2011-01-15 10:00:00,2011,1,15,10,30,100,0
2011-01-15 11:00:00,2011,1,15,11,30,131,0
2011-01-15 12:00:00,2011,1,15,12,30,176,164
2011-01-15 13:00:00,2011,1,15,13,30,77,837
2011-01-15 14:00:00,2011,1,15,14,30,68,782
2011-01-15 15:00:00,2011,1,15,15,30,50,670
2011-01-15 16:00:00,2011,1,15,16,30,33,519
2011-01-15 17:00:00,2011,1,15,17,30,0,0
2011-01-15 18:00:00,2011,1,15,18,30,0,0
2011-01-15 19:00:00,2011,1,15,19,30,0,0
2011-01-15 20:00:00,2011,1,15,20,30,0,0
2011-01-15 21:00:00,2011,1,15,21,30,0,0
2011-01-15 22:00:00,2011,1,15,22,30,0,0
2011-01-15 23:00:00,2011,1,15,23,30,0,0
2011-01-16 00:00:00,2011,1,16,0,30,0,0
2011-01-16 01:00:00,2011,1,16,1,30,0,0
2011-01-16 02:00:00,2011,1,16,2,30,0,0
2011-01-16 03:00:00,2011,1,16,3,30,0,0
2011-01-16 04:00:00,2011,1,16,4,30,0,0
2011-01-16 05:00:00,2011,1,16,5,30,0,0
2011-01-16 06:00:00,2011,1,16,6,30,0,0
2011-01-16 07:00:00,2011,1,16,7,30,0,0
2011-01-16 08:00:00,2011,1,16,8,30,33,44
2011-01-16 09:00:00,2011,1,16,9,30,90,106
2011-01-16 10:00:00,2011,1,16,10,30,124,21
2011-01-16 11:00:00,2011,1,16,11,30,164,67
2011-01-16 12:00:00,2011,1,16,12,30,171,58
2011-01-16 13:00:00,2011,1,16,13,30,77,824
2011-01-16 14:00:00,2011,1,16,14,30,68,765
2011-01-16 15:00:00,2011,1,16,15,30,37,0
2011-01-16 16:00:00,2011,1,16,16,30,12,0
2011-01-16 17:00:00,2011,1,16,17,30,0,0
2011-01-16 18:00:00,2011,1,16,18,30,0,0
2011-01-16 19:00:00,2011,1,16,19,30,0,0
2011-01-16 20:00:00,2011,1,16,20,30,0,0
2011-01-16 21:00:00,2011,1,16,21,30,0,0
2011-01-16 22:00:00,2011,1,16,22,30,0,0
2011-01-16 23:00:00,2011,1,16,23,30,0,0
2011-01-17 00:00:00,2011,1,17,0,30,0,0
2011-01-17 01:00:00,2011,1,17,1,30,0,0
2011-01-17 02:00:00,2011,1,17,2,30,0,0
2011-01-17 03:00:00,2011,1,17,3,30,0,0
2011-01-17 04:00:00,2011,1,17,4,30,0,0
2011-01-17 05:00:00,2011,1,17,5,30,0,0
2011-01-17 06:00:00,2011,1,17,6,30,0,0
2011-01-17 07:00:00,2011,1,17,7,30,0,0
2011-01-17 08:00:00,2011,1,17,8,30,5,0
2011-01-17 09:00:00,2011,1,17,9,30,19,0
2011-01-17 10:00:00,2011,1,17,10,30,30,0
2011-01-17 11:00:00,2011,1,17,11,30,47,0
2011-01-17 12:00:00,2011,1,17,12,30,69,0
2011-01-17 13:00:00,2011,1,17,13,30,67,0
2011-01-17 14:00:00,2011,1,17,14,30,12,0
2011-01-17 15:00:00,2011,1,17,15,30,57,0
2011-01-17 16:00:00,2011,1,17,16,30,18,0
2011-01-17 17:00:00,2011,1,17,17,30,0,0
2011-01-17 18:00:00,2011,1,17,18,30,0,0
2011-01-17 19:00:00,2011,1,17,19,30,0,0
2011-01-17 20:00:00,2011,1,17,20,30,0,0
2011-01-17 21:00:00,2011,1,17,21,30,0,0
2011-01-17 22:00:00,2011,1,17,22,30,0,0
2011-01-17 23:00:00,2011,1,17,23,30,0,0
2011-01-18 00:00:00,2011,1,18,0,30,0,0
2011-01-18 01:00:00,2011,1,18,1,30,0,0
2011-01-18 02:00:00,2011,1,18,2,30,0,0
2011-01-18 03:00:00,2011,1,18,3,30,0,0
2011-01-18 04:00:00,2011,1,18,4,30,0,0
2011-01-18 05:00:00,2011,1,18,5,30,0,0
2011-01-18 06:00:00,2011,1,18,6,30,0,0
2011-01-18 07:00:00,2011,1,18,7,30,0,0
2011-01-18 08:00:00,2011,1,18,8,30,38,167
2011-01-18 09:00:00,2011,1,18,9,30,82,341
2011-01-18 10:00:00,2011,1,18,10,30,74,799
2011-01-18 11:00:00,2011,1,18,11,30,80,849
2011-01-18 12:00:00,2011,1,18,12,30,82,862
2011-01-18 13:00:00,2011,1,18,13,30,78,842
2011-01-18 14:00:00,2011,1,18,14,30,69,786
2011-01-18 15:00:00,2011,1,18,15,30,51,675
2011-01-18 16:00:00,2011,1,18,16,30,33,426
2011-01-18 17:00:00,2011,1,18,17,30,0,0
2011-01-18 18:00:00,2011,1,18,18,30,0,0
2011-01-18 19:00:00,2011,1,18,19,30,0,0
2011-01-18 20:00:00,2011,1,18,20,30,0,0
2011-01-18 21:00:00,2011,1,18,21,30,0,0
2011-01-18 22:00:00,2011,1,18,22,30,0,0
2011-01-18 23:00:00,2011,1,18,23,30,0,0
2011-01-19 00:00:00,2011,1,19,0,30,0,0
2011-01-19 01:00:00,2011,1,19,1,30,0,0
2011-01-19 02:00:00,2011,1,19,2,30,0,0
2011-01-19 03:00:00,2011,1,19,3,30,0,0
2011-01-19 04:00:00,2011,1,19,4,30,0,0
2011-01-19 05:00:00,2011,1,19,5,30,0,0
2011-01-19 06:00:00,2011,1,19,6,30,0,0
2011-01-19 07:00:00,2011,1,19,7,30,0,0
2011-01-19 08:00:00,2011,1,19,8,30,38,370
2011-01-19 09:00:00,2011,1,19,9,30,61,684
2011-01-19 10:00:00,2011,1,19,10,30,74,807
2011-01-19 11:00:00,2011,1,19,11,30,81,862
2011-01-19 12:00:00,2011,1,19,12,30,83,878
2011-01-19 13:00:00,2011,1,19,13,30,79,862
2011-01-19 14:00:00,2011,1,19,14,30,70,808
2011-01-19 15:00:00,2011,1,19,15,30,53,700
2011-01-19 16:00:00,2011,1,19,16,30,34,444
2011-01-19 17:00:00,2011,1,19,17,30,0,0
2011-01-19 18:00:00,2011,1,19,18,30,0,0
2011-01-19 19:00:00,2011,1,19,19,30,0,0
2011-01-19 20:00:00,2011,1,19,20,30,0,0
2011-01-19 21:00:00,2011,1,19,21,30,0,0
2011-01-19 22:00:00,2011,1,19,22,30,0,0
2011-01-19 23:00:00,2011,1,19,23,30,0,0
2011-01-20 00:00:00,2011,1,20,0,30,0,0
2011-01-20 01:00:00,2011,1,20,1,30,0,0
2011-01-20 02:00:00,2011,1,20,2,30,0,0
2011-01-20 03:00:00,2011,1,20,3,30,0,0
2011-01-20 04:00:00,2011,1,20,4,30,0,0
2011-01-20 05:00:00,2011,1,20,5,30,0,0
2011-01-20 06:00:00,2011,1,20,6,30,0,0
2011-01-20 07:00:00,2011,1,20,7,30,0,0
2011-01-20 08:00:00,2011,1,20,8,30,28,0
2011-01-20 09:00:00,2011,1,20,9,30,71,0
2011-01-20 10:00:00,2011,1,20,10,30,76,838
2011-01-20 11:00:00,2011,1,20,11,30,83,893
2011-01-20 12:00:00,2011,1,20,12,30,84,909
2011-01-20 13:00:00,2011,1,20,13,30,81,894
2011-01-20 14:00:00,2011,1,20,14,30,72,844
2011-01-20 15:00:00,2011,1,20,15,30,54,741
2011-01-20 16:00:00,2011,1,20,16,30,35,487
2011-01-20 17:00:00,2011,1,20,17,30,0,0
2011-01-20 18:00:00,2011,1,20,18,30,0,0
